제품,상세설명,구매LINK,catalog down,보호종류,제품군,통신여부,통신종류,내장 ZCT,과전류/저전류,결상,역상,누설(지락),단락,과전압/저전압,전력,,,,,,,,
EOCR3EZ-05AUT,"3EZ, 05A/100-240V,OL+GR(E),TB",https://smartstore.naver.com/htengineering/products/11687953117,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-05CUH,"3EZ, 05A/100-240V,OL/GR(E),Hole",https://smartstore.naver.com/htengineering/products/11687931033,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-05CUT,"3EZ, 05A/100-240V,OL/GR(E),TB",https://smartstore.naver.com/htengineering/products/11687938466,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-80AUH,"3EZ, 80A/100-240V,OL+GR(E),Hole",https://smartstore.naver.com/htengineering/products/11687949838,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-80AUT,"3EZ, 80A/100-240V,OL+GR(E),TB",https://smartstore.naver.com/htengineering/products/11687955575,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-80CUH,"3EZ, 80A/100-240V,OL/GR(E),Hole",https://smartstore.naver.com/htengineering/products/11687934503,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCR3EZ-80CUT,"3EZ, 80A/100-240V,OL/GR(E),TB",https://smartstore.naver.com/htengineering/products/11687939948,https://blog.naver.com/ht-eng/223827530874,전류,Digital,비통신,불가,X,모든조건,가능,가능,가능,불가,불가,불가,,,,,,,,
EOCRAR-05S,EOCRAR 05 24~240V Standard,https://smartstore.naver.com/htengineering/products/11662562899,https://blog.naver.com/ht-eng/223825205332,전류,Analog,비통신,불가,X,과전류,불가,불가,불가,불가,불가,불가,,,,,,,,
EOCRAR-30S,EOCRAR 30 24~240V Standard,https://smartstore.naver.com/htengineering/products/11662565620,https://blog.naver.com/ht-eng/223825205332,전류,Analog,비통신,불가,X,과전류,불가,불가,불가,불가,불가,불가,,,,,,,,
EOCRAR-60S,EOCRAR 60 24~240V Standard,https://smartstore.naver.com/htengineering/products/11662567142,https://blog.naver.com/ht-eng/223825205332,전류,Analog,비통신,불가,X,과전류,불가,불가,불가,불가,불가,불가,,,,,,,,
